Postcode,Total_Solar_Capacity_kW,Total_Solar_Installations
3000,6669.332,210
3002,1976.254,206
3003,4183.07,265
3006,2795.5299999999997,84
3008,3921.5649999999996,231
3011,17268.786,2396
3012,28451.926,3826
3013,15049.486,2566
3015,18053.269,3128
3016,18437.198,3123
3018,22986.287,3056
3019,10192.130000000001,1507
3020,57487.491,8052
3021,51807.505000000005,9742
3022,3014.372,523
3023,96859.121,16114
3024,80441.349,12938
3025,21705.364,2942
3027,14995.633,2611
3028,32353.306000000004,6054
3029,330547.823,48668
3030,211071.15899999999,33563
3031,11149.285,1852
3032,21374.610999999997,3710
3033,14980.887,2434
3034,10397.772,1802
3036,8178.382,1233
3037,66196.295,11783
3038,35473.502,6000
3039,11098.351999999999,1790
3040,21558.02,3349
3041,12772.670999999998,1911
3042,19721.091,2739
3043,28775.253,3547
3044,21491.800000000003,3832
3046,25721.735,4801
3047,25761.542999999998,3476
3048,23595.362999999998,3787
3049,11909.969000000001,1965
3051,4446.627,606
3052,3851.084,299
3053,4138.255999999999,367
3054,4396.951,868
3055,9331.273000000001,1790
3056,21037.014,3277
3057,7913.005,1322
3058,41403.75,6637
3059,44881.413,6056
3060,12333.77,2066
3061,39658.58,2020
3064,249093.974,36283
3065,4768.503000000001,707
3066,5201.914000000001,528
3067,4884.269,589
3068,13121.061000000002,2486
3070,25555.974000000002,4933
3071,17675.398,3015
3072,36626.36,5785
3073,43732.202999999994,7893
3074,35629.176,4095
3075,24609.708,4163
3076,55011.986000000004,8019
3078,15234.413,2407
3079,17806.217,2683
3081,16683.660000000003,2419
3082,32685.232,6015
3083,35786.572,6050
3084,26487.934999999998,4582
3085,14010.903,2523
3087,9566.652,1739
3088,31156.351000000002,5428
3089,18530.769,2978
3090,5705.776,659
3093,6383.8189999999995,814
3094,10317.569,1800
3095,37871.001,5982
3096,2849.08,484
3099,8309.694,1330
3101,22624.309999999998,3118
3102,6891.596,1050
3103,13954.792000000001,2186
3104,23484.143,3400
3105,11332.509,1864
3106,22896.019999999997,3578
3107,14933.052,2421
3108,23029.311,3720
3109,30860.664,5183
3111,18646.466,2776
3113,15333.089,2255
3115,7914.284,1042
3116,18175.475,2871
3121,15140.857,2281
3122,12884.806,1753
3123,9815.523000000001,1429
3124,20480.095999999998,3078
3125,14236.035,2269
3126,7773.107,1048
3127,17339.72,2911
3128,18183.144,2611
3130,37127.91499999999,6075
3131,29398.273,4490
3132,18842.95,2987
3133,31460.38,5335
3134,45351.005999999994,6554
3135,24706.034,4045
3136,55810.055,9767
3137,25375.294,3704
3138,29243.182,5371
3139,28747.031000000003,4187
3140,29705.172,4463
3141,5914.692,833
3142,7823.843,858
3143,5237.153,714
3144,9421.721,1203
3145,19088.333,3031
3146,23286.413,3601
3147,16681.474000000002,2812
3148,8278.58,1482
3149,42946.195,7150
3150,83362.536,13782
3151,13085.571,2385
3152,50980.051,8631
3153,46299.031,5444
3154,5936.071,1014
3155,28568.96,5059
3156,56900.969,9737
3158,7879.725,1340
3159,2917.85,518
3160,11224.732,1814
3161,11299.088,1426
3162,15946.909,2328
3163,21301.225,3656
3165,27987.119,4612
3166,23434.423000000003,3541
3167,13478.801,1933
3168,18722.395,2066
3169,24767.732,3748
3170,31719.239999999998,4470
3171,28072.940000000002,4148
3172,30607.180999999997,5190
3173,56496.907999999996,8514
3174,39076.319,6834
3175,117448.533,10367
3177,13017.544,2308
3178,57332.445999999996,9708
3179,14171.846000000001,1648
3180,15456.418000000001,2168
3181,6714.5419999999995,1037
3182,6650.139999999999,1050
3183,6789.88,1151
3184,6226.805,1188
3185,9165.938,1475
3186,23129.476000000002,3126
3187,17592.602,2708
3188,18466.744,2961
3189,14215.727,1549
3190,10110.336,1590
3191,11990.929,1822
3192,29463.799,4144
3193,26279.291,3867
3194,15662.326000000001,1979
3195,62195.85,8157
3196,28921.394,5170
3197,14397.048,2676
3198,23304.245000000003,3964
3199,69055.456,11622
3200,4699.355,986
3201,44361.214,6165
3202,6726.757,607
3204,29307.523,4755
3205,5657.512000000001,693
3206,5626.159,984
3207,14142.08,1177
3335,42186.776,5955
3337,65820.907,11368
3338,77524.968,12316
3340,46046.637,7380
3427,12774.037,1939
3428,2087.272,234
3429,74634.234,11812
3431,10040.391,1599
3437,27375.299,3748
3438,6567.433,823
3750,64769.97,9256
3752,35417.425,6053
3754,85158.329,13891
3756,33331.767,5261
3757,19770.322,2965
3765,9817.374,1570
3770,10298.114,1076
3775,10557.385,1378
3777,22419.506999999998,3389
3782,12010.135999999999,1955
3786,2278.87,335
3788,2157.6369999999997,319
3793,7690.093,980
3795,4775.682,498
3796,12795.386,2214
3802,34655.782,6645
3803,27519.9,3337
3805,94561.875,16865
3806,93641.956,15540
3807,14251.358,2245
3808,7123.193,977
3809,48833.974,7029
3810,101435.50200000001,15740
3910,34299.437000000005,5977
3975,39001.282999999996,6766
3976,35245.117,7018
3977,222795.984,37420
3978,140757.76,19890
